manufacturer,model_name,vehicle_category,ex_showroom_price_inr,price_basis,battery_capacity_kwh,range_km,range_standard,top_speed_kmh,motor_peak_power_kw,launch_status,source_url,source_type,accessed_date,verification_status,verification_notes
TVS Motor Company,iQube 2.3 kWh,electric scooter,95124,effective ex-showroom,2.3,114,IDC,68,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.
TVS Motor Company,iQube 3.1 kWh,electric scooter,104962,effective ex-showroom,3.1,123,IDC,82,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.
TVS Motor Company,iQube 3.5 kWh,electric scooter,110200,effective ex-showroom,3.5,145,IDC,82,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.
TVS Motor Company,iQube MillionR Edition,electric scooter,113751,effective ex-showroom,3.5,145,IDC,82,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.
TVS Motor Company,iQube S 4.7 kWh,electric scooter,130340,effective ex-showroom,4.7,175,IDC,82,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.
TVS Motor Company,iQube ST 5.3 kWh,electric scooter,146877,effective ex-showroom,5.3,212,IDC,82,,current,https://www.tvsmotor.com/electric-scooters/tvs-iqube-price-in-india,official OEM product page,2026-09-07,verified,Price shown is effective ex-showroom with PM E-Drive.
Bajaj Auto,Chetak 3501,electric scooter,134500,ex-showroom Delhi,3.5,153,certified,73,,current,https://www.chetak.com/blogs/understanding-e-scooter-prices-in-india-a-look-at-bajaj-chetak,official OEM product page,2026-09-07,verified,Price location-specific.
Bajaj Auto,Chetak 3502,electric scooter,122500,ex-showroom Delhi,3.5,153,certified,73,,current,https://www.chetak.com/blogs/understanding-e-scooter-prices-in-india-a-look-at-bajaj-chetak,official OEM product page,2026-09-07,verified,Price location-specific.
Bajaj Auto,Chetak 3503,electric scooter,,,3.5,151,IDC,63,,current,https://www.chetak.com/blogs/electric-scooter-comparison-performance-and-battery-technology-analysis,official OEM product page,2026-09-07,verified,No comparable ex-showroom price captured.
Bajaj Auto,Chetak 3001,electric scooter,,,3.0,127,IDC,63,,current,https://www.chetak.com/faqs,official OEM FAQ,2026-09-07,verified,No comparable ex-showroom price captured.
Bajaj Auto,Chetak C2501,electric scooter,91504,ex-showroom Bengaluru,2.5,113,IDC,55,,current,https://www.chetak.com/-/media/chetakv2/chetak-c2501/chetak-c2501-brochure.pdf,official OEM brochure,2026-09-07,verified,Price from current Chetak homepage; specifications from brochure.
Ola Electric,S1 X Gen 3 2 kWh,electric scooter,84999,starting ex-showroom,2.0,108,IDC,101,7.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,Price is current starting price for S1 X family and may vary by city.
Ola Electric,S1 X Gen 3 3 kWh,electric scooter,,,3.0,176,IDC,115,7.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,No variant-specific current price captured.
Ola Electric,S1 X Gen 3 4 kWh,electric scooter,,,4.0,242,IDC,123,7.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,No variant-specific current price captured.
Ola Electric,S1 X Plus Gen 3 4 kWh,electric scooter,120999,starting ex-showroom,4.0,242,IDC,125,11.0,current,https://www.olaelectric.com/s1x-gen3,official OEM product page,2026-09-07,verified,Page presents S1 X Plus 5.2/4 kWh together; price is starting price.
Ola Electric,S1 X Plus Gen 3 5.2 kWh,electric scooter,129999,introductory ex-showroom,5.2,320,IDC,125,11.0,launched 2026,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/intimation_of_product_launch_dated_april_13_2026.pdf,official OEM launch announcement,2026-09-07,verified,Introductory price was valid until 15 April 2026.
Ola Electric,S1 Pro Gen 3 3 kWh,electric scooter,114999,introductory ex-showroom,3.0,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.
Ola Electric,S1 Pro Gen 3 4 kWh,electric scooter,134999,introductory ex-showroom,4.0,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.
Ola Electric,S1 Pro Plus Gen 3 4 kWh,electric scooter,154999,introductory ex-showroom,4.0,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.
Ola Electric,S1 Pro Plus Gen 3 5.3 kWh,electric scooter,169999,introductory ex-showroom,5.3,,,,,launched 2025,https://cdn.olaelectric.com/sites/evdp/pages/investor/announcement/s1_portfolio_next_level.pdf,official OEM launch announcement,2026-09-07,verified,Source verifies price and battery only.
Ather Energy,450S 3.7 kWh,electric scooter,,,3.7,161,IDC,,,launched 2025,https://media.atherenergy.com/Press-Release-July-31-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies battery and IDC range only.
Ather Energy,450X 2.9 kWh,electric scooter,,,2.9,126,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies IDC range only.
Ather Energy,450X 3.7 kWh,electric scooter,,,3.7,161,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies IDC range only.
Ather Energy,450 Apex,electric scooter,,,3.7,157,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies battery and IDC range only.
Ather Energy,Rizta S 2.9 kWh,electric scooter,108156,ex-showroom Pune,2.9,123,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.
Ather Energy,Rizta S 3.7 kWh,electric scooter,137047,ex-showroom Delhi,3.7,159,IDC,,,launched 2025,https://media.atherenergy.com/Ather-Energy-Press-Release-July-01-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.
Ather Energy,Rizta Z 2.9 kWh,electric scooter,129656,ex-showroom Pune,2.9,123,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.
Ather Energy,Rizta Z 3.7 kWh,electric scooter,149647,ex-showroom Pune,3.7,159,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.
